callsign,freq_mhz,city,state,class,erp_kw,lat,lon
NEW,69,Vernon,AL,DTV,41.2,33.91231,-87.80172
W03BW-D,63,Midland City,AL,LPD,0.2,31.22639,-85.39267
W04EK-D,69,Atmore,AL,LPD,3.0,30.62506,-87.64828
W13DT-D,213,Montgomery,AL,LPD,0.2,31.97472,-86.16222
W13DX-D,213,Birmingham,AL,LPD,2.69,33.39761,-86.66136
W13EB-D,213,Montgomery,AL,LPD,3.0,32.36781,-86.26167
W14FC-D,473,Opelika,AL,LPD,15.0,32.59872,-85.20547
W14FH-D,473,Dothan,AL,LPD,15.0,31.30064,-85.58453
W16DS-D,485,Birmingham,AL,DCA,8.35,33.48417,-86.80972
W16DV-D,485,Alexander City,AL,LPD,8.0,32.73639,-85.49833
W18ET-D,497,Birmingham,AL,LPD,15.0,33.46028,-86.85194
W19FX-D,503,Mobile,AL,LPD,15.0,30.7085,-88.04664
W20DF-D,509,Russellville,AL,LPD,15.0,34.50175,-87.74836
W22FS-D,521,Tuscaloosa,AL,LPD,15.0,33.48083,-87.40083
W25FC-D,539,Jasper,AL,LPD,15.0,33.845,-87.30722
W26FE-D,545,Montgomery,AL,LPD,1.3,32.36783,-86.26189
W29FJ-D,563,Dothan,AL,LPD,0.2,31.22639,-85.39267
W30EL-D,569,Montgomery,AL,LPD,0.1,32.40361,-86.19694
W31FM-D,575,Berry,AL,LPT,15.0,33.68789,-87.56528
W31FO-D,575,Sylacauga,AL,LPD,15.0,33.28861,-86.45317
W32EQ-D,581,Tuscaloosa,AL,LPD,3.2,33.10106,-88.08986
W32GP-D,581,Tuscaloosa,AL,LPD,15.0,33.48083,-87.40083
W33FQ-D,587,Opelika,AL,LPT,15.0,32.59872,-85.20547
W34EY-D,593,Huntsville,AL,DCA,15.0,34.73689,-86.53303
W34FB-D,593,Hamilton,AL,LPD,15.0,34.03953,-87.95086
W35EE-D,599,Demopolis,AL,LPD,15.0,32.47478,-87.82917
W35EX-D,599,Dothan,AL,LPD,15.0,31.25106,-85.48011
W36EO-D,605,Auburn,AL,LPD,15.0,32.512,-85.58736
WAAO-LD,581,Andalusia,AL,LPD,14.2,31.34064,-86.4675
WAAY-TV,491,Huntsville,AL,DTV,356.0,34.73689,-86.53303
WABM,509,Birmingham,AL,DTV,1000.0,33.48467,-86.807
WAFF,479,Huntsville,AL,DTV,137.0,34.71092,-86.53528
WAIQ,551,Montgomery,AL,DTV,600.0,32.38194,-86.2925
WAKA,539,Selma,AL,DTV,944.0,32.14942,-86.7785
WALA-TV,189,Mobile,AL,DTV,29.0,30.68806,-87.79833
WALE-LD,485,Montgomery,AL,LPD,15.0,32.33528,-86.28778
WAUT-LD,515,Auburn,AL,LPD,4.0,32.62056,-85.46069
WAXC-LD,581,Alexander City,AL,LPD,15.0,32.94639,-85.9425
WBIH,593,Selma,AL,DTV,1000.0,32.54075,-86.84242
WBIQ,195,Birmingham,AL,DTV,3.4,33.48467,-86.807
WBMA-LD,581,Birmingham,AL,LPD,15.0,33.44111,-86.88389
